RandomScore,PlanScore,MCScore,,,r,p,m
0,0,0,,avgs,2.006461697,1.918109467,2.148966476
0.21,0.09,0.06122449,,DF,5998,,
0.260273973,1.32,0.101010101,,sample SD,0.997869844,1.135062626,1.003403313
0.310810811,0,0.14,,standard error RP,0.027592942,,
0.36,0,0.2,,standard error PM,0.02765975,,
0.407894737,0,0.322580645,,standard error RM,0.025836424,,
0.454545455,0.05,0.4375,,,,,
0.5,0.22,0.545454545,,tstat RP,3.201986541,,
0.544303797,1.176470588,0.647058824,,tstat PM,-8.346315696,,
0.5875,1.230769231,0.742857143,,tstat RM,-5.515654112,,
0.62962963,1.283018868,0.833333333,,,,,
0.670731707,1.333333333,0.918918919,,,,,
0.710843373,1.381818182,1,,,,,
0.75,1.428571429,1.076923077,,,,,
0.788235294,1.473684211,1.15,,,,,
0.825581395,1.517241379,1.219512195,,,,,
0.862068966,1.559322034,1.285714286,,,,,
0.897727273,1.6,1.348837209,,,,,
0.93258427,1.639344262,1.409090909,,,,,
0.966666667,1.677419355,1.466666667,,,,,
1,1.714285714,1.52173913,,,,,
1.032608696,1.75,1.574468085,,,,,
1.064516129,1.784615385,1.625,,,,,
1.095744681,1.818181818,1.673469388,,,,,
1.126315789,1.850746269,1.72,,,,,
1.15625,1.882352941,1.764705882,,,,,
1.18556701,1.913043478,1.807692308,,,,,
1.214285714,1.942857143,1.849056604,,,,,
1.242424242,1.971830986,1.888888889,,,,,
1.27,2,1.927272727,,,,,
0.466666667,2.02739726,1.964285714,,,,,
0.6875,2.054054054,2,,,,,
0.882352941,2.08,2.034482759,,,,,
1.055555556,2.105263158,2.06779661,,,,,
1.210526316,2.12987013,2.1,,,,,
1.35,2.153846154,2.131147541,,,,,
1.476190476,2.17721519,2.161290323,,,,,
1.590909091,2.2,2.19047619,,,,,
1.695652174,2.222222222,2.21875,,,,,
1.791666667,2.243902439,2.246153846,,,,,
1.88,2.265060241,2.272727273,,,,,
1.961538462,2.285714286,2.298507463,,,,,
2.037037037,2.305882353,2.323529412,,,,,
2.107142857,2.325581395,2.347826087,,,,,
2.172413793,2.344827586,2.371428571,,,,,
2.233333333,2.363636364,2.394366197,,,,,
2.290322581,2.382022472,2.416666667,,,,,
2.34375,2.4,2.438356164,,,,,
2.393939394,2.417582418,2.459459459,,,,,
2.441176471,2.434782609,2.48,,,,,
2.485714286,2.451612903,2.5,,,,,
2.527777778,2.468085106,2.519480519,,,,,
2.567567568,2.484210526,2.538461538,,,,,
2.605263158,2.5,2.556962025,,,,,
2.641025641,2.515463918,2.575,,,,,
2.675,2.530612245,2.592592593,,,,,
2.707317073,2.545454545,2.609756098,,,,,
2.738095238,2.56,2.626506024,,,,,
2.76744186,0,2.642857143,,,,,
2.795454545,0,2.658823529,,,,,
2.822222222,0.18,2.674418605,,,,,
2.847826087,0,2.689655172,,,,,
2.872340426,0,2.704545455,,,,,
2.895833333,0.073170732,2.719101124,,,,,
2.918367347,0.120481928,2.733333333,,,,,
2.94,0.166666667,2.747252747,,,,,
2.960784314,0.211764706,2.760869565,,,,,
2.980769231,0.255813953,2.774193548,,,,,
3,0.298850575,2.787234043,,,,,
3.018518519,0.340909091,2.8,,,,,
3.036363636,0.382022472,2.8125,,,,,
3.053571429,0.422222222,2.824742268,,,,,
3.070175439,0.461538462,2.836734694,,,,,
3.086206897,0.5,2.848484848,,,,,
3.101694915,0.537634409,2.86,,,,,
3.116666667,0.574468085,0.44,,,,,
3.131147541,0.610526316,4,,,,,
3.14516129,0.645833333,4,,,,,
3.158730159,0.680412371,4,,,,,
3.171875,0.714285714,4,,,,,
3.184615385,0.747474747,4,,,,,
3.196969697,0.78,4,,,,,
3.208955224,0.12,4,,,,,
3.220588235,0,4,,,,,
3.231884058,0,4,,,,,
3.242857143,0,4,,,,,
3.253521127,0.17,4,,,,,
3.263888889,0,4,,,,,
3.273972603,0,4,,,,,
3.283783784,0.03,4,,,,,
3.293333333,0,4,,,,,
3.302631579,0,4,,,,,
3.311688312,0,4,,,,,
3.320512821,0,4,,,,,
3.329113924,0,4,,,,,
3.3375,0,4,,,,,
3.345679012,0,4,,,,,
3.353658537,2.53,4,,,,,
3.361445783,0.05,4,,,,,
3.369047619,2.03,4,,,,,
3.376470588,0,4,,,,,
3.38372093,1.5,4,,,,,
3.390804598,1.98,4,,,,,
3.397727273,0.07,4,,,,,
3.404494382,2,4,,,,,
3.411111111,0.06,4,,,,,
3.417582418,0,4,,,,,
3.423913043,1.292134831,4,,,,,
3.430107527,1.322222222,4,,,,,
3.436170213,1.351648352,4,,,,,
3.442105263,1.380434783,4,,,,,
3.447916667,1.408602151,4,,,,,
3.453608247,1.436170213,4,,,,,
3.459183673,1.463157895,4,,,,,
3.464646465,1.489583333,4,,,,,
3.47,1.515463918,4,,,,,
1.86,1.540816327,4,,,,,
0,1.565656566,4,,,,,
0,1.59,4,,,,,
1.7,0,4,,,,,
2,0,4,,,,,
0.02,0,4,,,,,
0.511627907,0,4,,,,,
0.551724138,0.04,4,,,,,
0.590909091,0.06,4,,,,,
0.629213483,0,4,,,,,
0.666666667,0.126315789,4,,,,,
0.703296703,0.166666667,4,,,,,
0.739130435,0.206185567,4,,,,,
0.774193548,0.244897959,4,,,,,
0.808510638,0.282828283,4,,,,,
0.842105263,0.32,4,,,,,
0.875,0,4,,,,,
0.907216495,0,4,,,,,
0.93877551,0.32,4,,,,,
0.96969697,1.64,4,,,,,
1,1.12,4,,,,,
1.36,1.74,4,,,,,
0,0.11,4,,,,,
0,1.912280702,4,,,,,
0,1.948275862,4,,,,,
0.56,1.983050847,4,,,,,
2.56,2.016666667,4,,,,,
0.6,2.049180328,4,,,,,
0,2.080645161,4,,,,,
0.673076923,2.111111111,4,,,,,
0.735849057,2.140625,4,,,,,
0.796296296,2.169230769,4,,,,,
0.854545455,2.196969697,4,,,,,
0.910714286,2.223880597,4,,,,,
0.964912281,2.25,4,,,,,
1.017241379,2.275362319,4,,,,,
1.06779661,2.3,4,,,,,
1.116666667,2.323943662,4,,,,,
1.163934426,2.347222222,4,,,,,
1.209677419,2.369863014,4,,,,,
1.253968254,2.391891892,4,,,,,
1.296875,2.413333333,4,,,,,
1.338461538,2.434210526,4,,,,,
1.378787879,2.454545455,4,,,,,
